country,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
AT,31710,31990,32360,32520,33200,33710,34700,35870,36280,34830,35390,36300,36390,36180,36130,36140,36390,37030,37800,38170,35610
BE,29890,30110,30490,30680,31640,32200,32800,33760,33640,32700,33330,33460,33490,33490,33870,34360,34620,35050,35510,35950,33560
BG,3010,3230,3440,3640,3890,4190,4500,4820,5140,4990,5050,5300,5350,5400,5530,5790,6050,6310,6550,6840,6600
CH,52080,52640,52260,51860,52970,54180,56000,57720,58620,56750,58170,58730,58820,59200,59920,60220,60780,61170,62500,62800,60820
CY,20130,20700,21230,21520,22300,23050,23740,24420,24680,23550,23400,22900,21780,20400,20250,21020,22270,23200,24120,24530,23050
CZ,11230,11620,11830,12260,12840,13650,14530,15250,15500,14690,15020,15310,15170,15160,15480,16290,16670,17490,17990,18460,17340
DE,28910,29370,29290,29100,29470,29730,30930,31920,32320,30580,31940,33200,33280,33330,33920,34130,34610,35410,35690,35980,34310
DK,42190,42390,42430,42490,43520,44400,45990,46210,45700,43220,43840,44240,44170,44410,44890,45630,46720,47740,48450,49270,48150
EA19,26490,26970,27090,27110,27590,27890,28660,29360,29340,27930,28460,28870,28550,28440,28780,29280,29730,30450,30930,31310,29280
EE,7540,8040,8640,9350,10050,11070,12230,13230,12590,10770,11060,11890,12320,12540,12960,13230,13620,14410,14970,15510,15010
EL,17430,18050,18690,19730,20670,20740,21840,22500,22370,21350,20150,18130,16940,16600,16820,16870,16850,17100,17400,17750,16300
ES,21460,22190,22430,22680,23020,23420,24000,24380,24200,23100,23040,22770,22080,21840,22210,23080,23760,24430,24880,25200,22350
EU27_2020,22450,22890,23090,23200,23700,24060,24810,25500,25580,24400,24890,25320,25090,25060,25420,25950,26410,27110,27630,28050,26370
EU28,22990,23460,23710,23920,24430,24830,25560,26220,26240,25030,25510,25900,25730,25770,26170,26700,27140,27800,28280,28690,NA
FI,30510,31230,31690,32250,33440,34250,35490,37210,37330,34150,35080,35810,35140,34660,34390,34460,35330,36380,36740,37200,36070
FR,28930,29290,29410,29440,30050,30320,30850,31400,31310,30250,30690,31210,31160,31170,31320,31540,31770,32360,32820,33320,30610
HR,8190,8420,8900,9400,9780,10200,10700,11250,11460,10640,10520,10530,10310,10300,10310,10630,11100,11600,12040,12450,11500
HU,7910,8250,8670,9050,9510,9930,10340,10390,10510,9820,9960,10180,10090,10310,10770,11210,11480,12010,12680,13270,12640
IE,33270,34490,35890,36370,38170,39460,40360,41240,38550,36240,36700,36940,36770,37060,40010,49620,50060,53930,58100,60130,62980
IS,28570,29310,29220,29670,31620,33190,34310,36360,36230,33480,32650,33150,33330,34510,34710,35870,37610,38280,39090,39160,36030
IT,27430,27950,27960,27850,28040,28100,28490,28740,28250,26600,26940,27030,26160,25620,25620,25860,26240,26730,27030,27210,24890
